50,330.80370544433595,-1134.832431640625
100,251.60380432128906,-1136.6300390625
150,206.46248504638672,-1136.25154296875
200,180.2224871826172,-1136.4072143554688
250,164.18467712402344,-1136.4436889648437
300,153.92700958251953,-1136.7152685546876
350,145.21234649658203,-1136.391240234375
400,138.55874420166015,-1135.9061938476561
450,134.52824462890624,-1135.372666015625
500,130.2754377746582,-1134.000185546875
550,126.78946228027344,-1134.7180053710938
600,123.6831803894043,-1134.311201171875
650,120.97715606689454,-1134.202197265625
700,118.32120193481445,-1133.4584350585938
750,116.120966796875,-1133.708125
800,113.56508895874023,-1132.6654956054688
850,111.1127783203125,-1132.4922900390625
900,108.86533767700195,-1131.8076684570312
950,106.27042510986328,-1132.0969311523438
1000,103.61160095214844,-1132.0018798828125
1050,102.4874168395996,-1131.097734375
1100,99.99618423461914,-1131.4293725585937
1150,98.04299835205079,-1131.3793237304687
1200,96.53029052734375,-1130.9048657226563
1250,94.9289567565918,-1130.4043286132812
1300,93.13679809570313,-1129.27802734375
1350,91.00195129394531,-1128.030771484375
1400,88.8300880432129,-1128.1516162109374
1450,87.30892654418945,-1127.8705322265625
1500,85.43302612304687,-1126.7003564453125
1550,83.57148330688477,-1126.9422778320313
1600,82.40605911254883,-1125.8089990234375
1650,80.77857406616211,-1126.3541845703126
1700,79.93539520263671,-1125.8243139648437
1750,78.72377288818359,-1124.923447265625
1800,77.75400146484375,-1126.2114135742188
1850,76.62708480834961,-1125.0638525390625
1900,75.62779907226563,-1125.4100927734376
1950,74.76718338012695,-1124.4478515625
2000,74.41359603881835,-1123.9499731445312
2050,124.8414461517334,-1124.6113696289062
2100,37.24504627227783,-1123.897177734375
2150,28.170092239379883,-1123.4164819335938
2200,24.71026176452637,-1123.0096606445313
2250,22.86019802093506,-1123.44166015625
2300,21.934814682006834,-1123.209453125
2350,21.348307418823243,-1122.7957397460937
2400,20.797108001708985,-1122.3047119140624
2450,20.160925064086914,-1122.3823266601562
2500,19.803159065246582,-1121.1007470703125
2550,19.517320251464845,-1120.1651538085937
2600,19.12577018737793,-1119.9149072265625
2650,18.852324714660643,-1119.010322265625
2700,18.818516654968263,-1117.876025390625
2750,18.663856048583984,-1117.03107421875
2800,18.56076274871826,-1116.0018090820313
2850,18.50151844024658,-1116.1348120117189
2900,18.414920501708984,-1115.223017578125
2950,18.52214984893799,-1113.7455053710937
3000,18.33811080932617,-1113.0790649414062
3050,18.326532554626464,-1113.0879614257813
3100,18.12276252746582,-1113.0526123046875
3150,18.03037456512451,-1113.3190356445311
3200,18.06621879577637,-1112.1579956054688
3250,17.987679252624513,-1111.5010791015625
3300,17.970147247314454,-1111.1601025390626
3350,17.77178062438965,-1111.2483325195312
3400,17.86118251800537,-1110.2643505859376
3450,17.94307518005371,-1109.6936987304687
3500,17.85983814239502,-1107.9859399414063
3550,17.915827255249024,-1107.7248046875
3600,17.878524055480955,-1106.3841479492187
3650,17.859726982116698,-1105.5753100585937
3700,17.84241916656494,-1105.1606811523438
3750,17.66751605987549,-1105.232900390625
3800,17.546565895080565,-1105.295712890625
3850,17.582769088745117,-1103.9593969726564
3900,17.614354286193848,-1103.8976000976563
3950,17.474881896972658,-1103.8701684570312
4000,17.46300834655762,-1102.8622045898437
4050,204.7328157043457,-1103.2751611328124
4100,84.22640045166015,-1104.2912084960938
4150,66.20736465454101,-1103.843369140625
4200,56.13613311767578,-1104.3249145507812
4250,52.06748962402344,-1103.59267578125
4300,49.328606872558595,-1102.6026684570313
4350,47.209857864379885,-1101.9806665039061
4400,45.492040405273436,-1099.0116748046876
4450,43.87116950988769,-1097.4177734375
4500,42.8546263885498,-1095.7165087890626
4550,42.37451057434082,-1097.0809375
4600,41.26751594543457,-1097.6832006835937
4650,40.747548217773435,-1098.3156689453126
4700,40.1153963470459,-1097.366806640625
4750,39.90191520690918,-1096.8911059570312
4800,39.448301773071286,-1097.2781103515624
4850,38.78017791748047,-1096.2199291992188
4900,38.41264724731445,-1095.1061083984375
4950,38.02712562561035,-1094.906708984375
5000,37.56308654785156,-1094.8975537109375
5050,37.212301330566405,-1094.2560131835937
5100,36.79265068054199,-1092.6601000976561
5150,36.563797073364256,-1093.0581567382812
5200,36.50541091918945,-1092.0443188476563
5250,36.14679084777832,-1091.7117749023437
5300,36.0161279296875,-1090.8012084960938
5350,35.74557350158691,-1090.80470703125
5400,35.6220915222168,-1089.8975708007813
5450,35.38918197631836,-1089.4512280273439
5500,35.33235824584961,-1089.1444091796875
5550,35.17997360229492,-1088.7629638671874
5600,34.61235221862793,-1087.4817822265625
5650,34.52814292907715,-1087.1185668945313
5700,34.53743499755859,-1085.817412109375
5750,34.59652565002441,-1085.623095703125
5800,34.121815338134766,-1084.2464404296875
5850,34.21423873901367,-1084.18875
5900,33.992213821411134,-1082.3023095703124
5950,33.70481567382812,-1082.2533935546876
